Zip,Latitude,Longitude
622,17.991245,-67.153993
650,18.349416,-66.578079
670,18.240187,-66.988776
688,18.382311,-66.626416
714,18.003025,-66.046237
728,17.989853,-66.664116
745,18.352216,-65.817387
773,18.342888,-65.723109
794,18.200018,-66.309282
841,17.758634,-64.817451
915,18.437179,-66.045571
934,18.411313,-66.124234
960,18.416641,-66.144555
982,18.411261,-65.992045
1009,42.209669,-72.339743
1029,42.193395,-73.044647
1039,42.404287,-72.688924
1066,42.406909,-72.655015
1079,42.194327,-72.328888
1092,42.191868,-72.235108
1106,42.048054,-72.569275
1201,42.448236,-73.273727
1236,42.266496,-73.378393
1254,42.382019,-73.365492
1267,42.671617,-73.246981
1342,42.543889,-72.609458
1360,42.677091,-72.453876
1379,42.556308,-72.407153
1451,42.501908,-71.568201
1473,42.5546,-71.90544
1515,42.209682,-72.040178
1527,42.192246,-71.777649
1542,42.204251,-71.908907
1569,42.055921,-71.631128
1604,42.253485,-71.767932
1702,42.282379,-71.436623
1745,42.292114,-71.499197
1770,42.231947,-71.372963
1824,42.59079,-71.355182
1843,42.689988,-71.16039
1864,42.578401,-71.084448
1904,42.492456,-70.97393
1929,42.64042,-70.771172
1952,42.844794,-70.841499
2021,42.175737,-71.125385
2048,42.017302,-71.21642
2071,42.103425,-71.273589
2114,42.363174,-71.068646
2126,42.274227,-71.097423
2138,42.379637,-71.135152
2150,42.396824,-71.031348
2184,42.206188,-71.00232
2301,42.078371,-71.042304
2343,42.140346,-70.997861
2367,41.9591,-70.802753
2451,42.397825,-71.255701
2465,42.348912,-71.22633
2492,42.276483,-71.243714
2540,41.573891,-70.632042
2562,41.787209,-70.526717
2631,41.747513,-70.066223
2644,41.683488,-70.510786
2655,41.627984,-70.392013
2670,41.660103,-70.170681
2718,41.862486,-71.01169
2740,41.637485,-70.938265
2764,41.851929,-71.153598
2791,41.527824,-71.079618
2815,41.77463,-71.647954
2831,41.774762,-71.620289
2842,41.518673,-71.281685
2871,41.586609,-71.259211
2885,41.725138,-71.258805
2898,41.51764,-71.668521
2912,41.825593,-71.402239
3033,42.749263,-71.67567
3047,42.936319,-71.867127
3062,42.722323,-71.501176
3086,42.832231,-71.759615
3216,43.451175,-71.79794
3227,43.841192,-71.480852
3241,43.751841,-71.817784
3255,43.314026,-72.024551
3266,43.782873,-71.884739
3282,43.858721,-71.923718
3307,43.333988,-71.446658
3448,43.053924,-72.273623
3462,42.892609,-72.390167
3576,44.912445,-71.385112
3590,44.715053,-71.530115
3605,43.236564,-72.184869
3750,43.721023,-72.185207
3771,44.296605,-71.980684
3801,43.074812,-70.805443
3819,42.927892,-71.119888
3835,43.366924,-71.062503
3846,44.18762,-71.155763
3856,43.038509,-70.967954
3869,43.219815,-70.843107
3884,43.275384,-71.169956
3905,43.086194,-70.686846
4005,43.492102,-70.486566
4021,43.791796,-70.264762
4040,44.12685,-70.696419
4055,43.975769,-70.639298
4071,43.926746,-70.45076
4087,43.568795,-70.743997
4102,43.654353,-70.297611
4217,44.378536,-70.816256
